Tangential Velocity Squared,Adjusted Period (s^-2/3),Adjusted Period Absolute Uncertainty,Theoretical Adjusted Period
778734.87,0.00662814,1.2E-08,0.00663062
961401.08,0.00661953,1.2E-08,0.00662071
1163295.31,0.00660916,1.2E-08,0.00660976
1384417.55,0.00659745,1.2E-08,0.00659777
1624767.82,0.00658456,1.2E-08,0.00658474
1884346.11,0.00657055,1.2E-08,0.00657067
2163152.43,0.00655548,1.2E-08,0.00655555
2461186.76,0.00653934,1.2E-08,0.00653939
2778449.12,0.00652215,1.1E-08,0.00652218
3114939.49,0.00650392,1.1E-08,0.00650394
3470657.89,0.00648463,1.1E-08,0.00648465
3845604.31,0.00646430,1.1E-08,0.00646432
4239778.76,0.00644294,1.1E-08,0.00644294
4653181.22,0.00642052,1.1E-08,0.00642053
5085811.71,0.00639706,4.8E-14,0.00639707
5537670.21,0.00637256,1.1E-08,0.00637257
6008756.74,0.00634702,1.1E-08,0.00634702
6499071.29,0.00632043,1.1E-08,0.00632043
7008613.86,0.00629280,1.0E-08,0.00629280
7537384.46,0.00626413,1.0E-08,0.00626413
8085383.07,0.00623441,1.0E-08,0.00623442
8652609.71,0.00620366,1.0E-08,0.00620366
9239064.37,0.00617186,1.0E-08,0.00617186
9844747.05,0.00613901,9.8E-09,0.00613902
10469657.75,0.00610513,4.5E-14,0.00610513
11113796.47,0.00607020,4.4E-14,0.00607020
11777163.21,0.00603423,9.4E-09,0.00603423
12459757.98,0.00599722,9.3E-09,0.00599722
13161580.77,0.00595916,9.1E-09,0.00595916
13882631.58,0.00592006,9.0E-09,0.00592006
14622910.41,0.00587992,8.8E-09,0.00587992
15382417.26,0.00583874,8.7E-09,0.00583874
16161152.13,0.00579651,8.5E-09,0.00579651
16959115.03,0.00575324,3.9E-14,0.00575324
17776305.94,0.00570893,8.2E-09,0.00570893
18612724.88,0.00566358,8.0E-09,0.00566358
19468371.84,0.00561718,7.9E-09,0.00561718
20343246.82,0.00556974,7.7E-09,0.00556974
21237349.83,0.00552126,7.6E-09,0.00552126
22150680.85,0.00547173,3.4E-14,0.00547173
23083239.90,0.00542116,7.2E-09,0.00542116
24035026.97,0.00536955,7.0E-09,0.00536955
25006042.06,0.00531690,6.9E-09,0.00531690
25996285.17,0.00526321,6.7E-09,0.00526321
27005756.30,0.00520847,6.5E-09,0.00520847
28034455.45,0.00515269,6.4E-09,0.00515269
29082382.63,0.00509586,6.2E-09,0.00509586
30149537.83,0.00503800,2.8E-14,0.00503800
31235921.05,0.00497909,5.8E-09,0.00497909
32341532.29,0.00491914,5.7E-09,0.00491914
33466371.55,0.00485814,5.5E-09,0.00485814
34610438.83,0.00479611,5.3E-09,0.00479611
35773734.14,0.00473303,5.1E-09,0.00473303
36956257.46,0.00466891,5.0E-09,0.00466891
38158008.81,0.00460374,4.8E-09,0.00460374
39378988.18,0.00453753,4.6E-09,0.00453753
40619195.57,0.00447028,2.8E-14,0.00447028
41878630.99,0.00440199,4.3E-09,0.00440199
43157294.42,0.00433266,4.1E-09,0.00433266
44455185.88,0.00426228,4.0E-09,0.00426228
45772305.35,0.00419086,3.8E-09,0.00419086
47108652.85,0.00411840,3.6E-09,0.00411840
48464228.37,0.00404489,3.5E-09,0.00404489
49839031.92,0.00397034,3.3E-09,0.00397034
51233063.48,0.00389475,3.2E-09,0.00389475
52646323.07,0.00381812,3.0E-09,0.00381812
54078810.67,0.00374044,2.9E-09,0.00374044
55530526.30,0.00366172,2.7E-09,0.00366172
57001469.95,0.00358196,2.6E-09,0.00358196
58491641.63,0.00350116,2.4E-09,0.00350116
60001041.32,0.00341931,2.3E-09,0.00341931
61529669.03,0.00333642,2.0E-13,0.00333642
63077524.77,0.00325249,2.0E-09,0.00325249
64644608.53,0.00316751,1.9E-09,0.00316752
66230920.31,0.00308150,1.8E-09,0.00308150
67836460.11,0.00299444,1.6E-09,0.00299444
69461227.93,0.00290634,1.8E-13,0.00290634
71105223.78,0.00281719,1.7E-13,0.00281719
72768447.64,0.00272700,1.3E-09,0.00272700
74450899.53,0.00263577,1.8E-13,0.00263577
76152579.44,0.00254350,2.5E-13,0.00254350
77873487.37,0.00245018,3.0E-13,0.00245018
79613623.32,0.00235583,9.0E-10,0.00235583
81372987.30,0.00226043,8.1E-10,0.00226043
83151579.29,0.00216398,7.3E-10,0.00216398
84949399.31,0.00206650,6.5E-10,0.00206650
86766447.35,0.00196797,2.1E-13,0.00196797
88602723.41,0.00186840,5.0E-10,0.00186840
90458227.49,0.00176778,4.4E-10,0.00176778
92332959.59,0.00166613,3.8E-10,0.00166613
94226919.72,0.00156343,3.2E-10,0.00156343
96140107.87,0.00145968,2.7E-10,0.00145968
,,,
,,,
,,,
,,,
,,,
